record_id,record_type,jurisdiction,PII,PHI,public_company,reference_regulations
rec_0073,PatientInvoice,EU_DE,FALSE,TRUE,TRUE,"HIPAA,SOX,SEC,FINRA,IRS,HGB"
rec_0074,Chat,EU_FR,TRUE,FALSE,FALSE,GDPR
rec_0075,BankStatement,EU_DE,TRUE,FALSE,TRUE,"GDPR,SOX,SEC,FINRA,IRS,HGB"
rec_0076,PatientInvoice,EU_FR,FALSE,FALSE,TRUE,"SOX,SEC,FINRA,IRS"
rec_0077,Contract,EU_DE,TRUE,FALSE,FALSE,"GDPR,HGB"
rec_0078,BankStatement,CA,TRUE,FALSE,TRUE,"PIPEDA,SOX,SEC,FINRA,IRS"
rec_0079,BillingAddress,EU_DE,FALSE,FALSE,FALSE,none
rec_0080,MedicalRecord,EU_FR,TRUE,FALSE,FALSE,GDPR
rec_0081,TaxRecord,CA,TRUE,FALSE,FALSE,"PIPEDA,IRS"
rec_0082,AuditWorkpaper,EU_DE,FALSE,FALSE,FALSE,"IRS,HGB"
rec_0083,AdoptionRecord,EU_FR,TRUE,FALSE,FALSE,GDPR
rec_0084,PatientInvoice,CA,TRUE,TRUE,TRUE,"PIPEDA,HIPAA,SOX,SEC,FINRA,IRS"
rec_0085,BiometricData,US_CA,TRUE,FALSE,FALSE,CPRA
rec_0086,MedicalRecord,CA,TRUE,FALSE,FALSE,PIPEDA
rec_0087,FinancialStatement,US,FALSE,FALSE,FALSE,IRS
rec_0088,BillingAddress,EU_FR,TRUE,FALSE,FALSE,GDPR
rec_0089,TaxRecord,US,TRUE,FALSE,FALSE,IRS
rec_0090,BenefitsEnrollment,CA,TRUE,FALSE,FALSE,PIPEDA
rec_0091,BenefitsEnrollment,EU_FR,TRUE,TRUE,FALSE,"GDPR,HIPAA"
rec_0092,Contract,CA,TRUE,FALSE,FALSE,PIPEDA
rec_0093,BenefitsEnrollment,EU_FR,TRUE,FALSE,FALSE,GDPR
rec_0094,AllergyRecord,US,FALSE,FALSE,FALSE,none
rec_0095,Chat,US_CA,TRUE,FALSE,FALSE,CPRA
rec_0096,PatientInvoice,US_CA,TRUE,TRUE,TRUE,"CPRA,HIPAA,SOX,SEC,FINRA,IRS"
rec_0097,BiometricData,CA,FALSE,FALSE,FALSE,none
rec_0098,MedicalRecord,CA,FALSE,TRUE,FALSE,HIPAA
rec_0099,PatientInvoice,US_CA,FALSE,FALSE,FALSE,IRS
rec_0100,MedicalRecord,EU_DE,FALSE,TRUE,FALSE,HIPAA
rec_0101,Contract,US_CA,FALSE,FALSE,FALSE,none
rec_0102,BillingAddress,CA,TRUE,FALSE,FALSE,PIPEDA
rec_0103,BenefitsEnrollment,US_CA,FALSE,TRUE,FALSE,HIPAA
rec_0104,PatientInvoice,EU_FR,TRUE,FALSE,TRUE,"GDPR,SOX,SEC,FINRA,IRS"
rec_0105,Ticket,EU_FR,FALSE,FALSE,FALSE,none
rec_0106,BillingAddress,EU_DE,TRUE,FALSE,FALSE,GDPR
rec_0107,BillingAddress,US,FALSE,FALSE,FALSE,none
rec_0108,AutopsyReport,US,FALSE,TRUE,FALSE,HIPAA
rec_0109,TaxRecord,CA,TRUE,FALSE,TRUE,"PIPEDA,SOX,SEC,FINRA,IRS"
rec_0110,AllergyRecord,EU_FR,FALSE,TRUE,FALSE,HIPAA
rec_0111,PatientInvoice,CA,TRUE,FALSE,TRUE,"PIPEDA,SOX,SEC,FINRA,IRS"
rec_0112,Invoice,US_CA,TRUE,FALSE,FALSE,"CPRA,IRS"
rec_0113,BiometricData,EU_FR,TRUE,FALSE,FALSE,GDPR
rec_0114,Email,US_CA,TRUE,FALSE,FALSE,CPRA
rec_0115,Ticket,CA,TRUE,FALSE,FALSE,PIPEDA
rec_0116,BenefitsEnrollment,CA,FALSE,TRUE,FALSE,HIPAA
rec_0117,BillingAddress,EU_FR,FALSE,FALSE,FALSE,none
rec_0118,BankStatement,EU_FR,TRUE,FALSE,TRUE,"GDPR,SOX,SEC,FINRA,IRS"
rec_0119,MedicalRecord,EU_FR,FALSE,TRUE,FALSE,HIPAA
rec_0120,Contract,US,TRUE,FALSE,FALSE,none
rec_0121,TaxRecord,EU_FR,FALSE,FALSE,TRUE,"SOX,SEC,FINRA,IRS"
rec_0122,Contract,US_CA,TRUE,FALSE,FALSE,CPRA
rec_0123,BenefitsEnrollment,CA,FALSE,FALSE,FALSE,none
rec_0124,PatientInvoice,CA,FALSE,FALSE,TRUE,"SOX,SEC,FINRA,IRS"
rec_0125,MedicalRecord,US,FALSE,TRUE,FALSE,HIPAA
rec_0126,Contract,EU_DE,FALSE,FALSE,FALSE,HGB
rec_0127,MedicalRecord,CA,TRUE,TRUE,FALSE,"PIPEDA,HIPAA"
rec_0128,PatientInvoice,CA,TRUE,TRUE,FALSE,"PIPEDA,HIPAA,IRS"
rec_0129,Chat,CA,TRUE,FALSE,FALSE,PIPEDA
rec_0130,Invoice,EU_FR,TRUE,FALSE,FALSE,"GDPR,IRS"
rec_0131,TaxRecord,EU_FR,TRUE,FALSE,TRUE,"GDPR,SOX,SEC,FINRA,IRS"
rec_0132,MedicalRecord,EU_DE,FALSE,FALSE,FALSE,none
rec_0133,BankStatement,EU_DE,FALSE,FALSE,FALSE,"IRS,HGB"
rec_0134,MedicalRecord,EU_FR,TRUE,TRUE,FALSE,"GDPR,HIPAA"
rec_0135,AutopsyReport,US,FALSE,FALSE,FALSE,none
rec_0136,TaxRecord,US,FALSE,FALSE,TRUE,"SOX,SEC,FINRA,IRS"
rec_0137,AllergyRecord,EU_DE,TRUE,FALSE,FALSE,GDPR
rec_0138,BenefitsEnrollment,EU_DE,FALSE,TRUE,FALSE,HIPAA
rec_0139,BankStatement,CA,FALSE,FALSE,TRUE,"SOX,SEC,FINRA,IRS"
rec_0140,AuditWorkpaper,CA,FALSE,FALSE,FALSE,IRS
rec_0141,MedicalRecord,EU_DE,TRUE,FALSE,FALSE,GDPR
rec_0142,AllergyRecord,US_CA,FALSE,TRUE,FALSE,HIPAA
rec_0143,BiometricData,EU_DE,TRUE,FALSE,FALSE,GDPR
rec_0144,AdoptionRecord,CA,TRUE,FALSE,FALSE,PIPEDA
rec_0145,AuditWorkpaper,EU_DE,FALSE,FALSE,TRUE,"SOX,SEC,FINRA,IRS,HGB"
rec_0146,TaxRecord,US_CA,FALSE,FALSE,TRUE,"SOX,SEC,FINRA,IRS"
